Code,Streets,Print_Count,lat,lon,Installation_Status,LGA
NAS_321,ZAKARI SADIQ LINK,2,11.99574199,8.573188963,Pending,NASSARAWA
NAS_76,BICHI LINK,2,11.99574036,8.57262602,Pending,NASSARAWA
NAS_259,SALIHU GALEEL STREET,2,11.9951966,8.572100486,Pending,NASSARAWA
NAS_57,B.A ABDULLAHI LINK,2,11.99574252,8.571568649,Pending,NASSARAWA
NAS_18,ABDULRAHMAN ABUBAKAR LINK,2,11.99690006,8.571570159,Pending,NASSARAWA
NAS_293,UMAR IDRIS ILLO STREET,2,11.99688214,8.570981421,Pending,NASSARAWA
NAS_98,DR ABDU GREMA LINK,2,11.99690254,8.570448482,Pending,NASSARAWA
NAS_319,YUSUF KWARI LINK,2,11.9972823,8.570430541,Pending,NASSARAWA
NAS_62,BADAWA LAYOUT ROAD,2,11.997439,8.570485,Pending,NASSARAWA
NAS_261,SALISU MAI BOREHOLE STREET,2,11.99740727,8.572630329,Pending,NASSARAWA
TAR_55,HAMISU SULAIMAN MAJIA ROAD,2,11.99742627,8.572763275,Pending,TARAUNI
NAS_202,M.J. LAWAL STREET,2,11.99738853,8.573169142,Pending,NASSARAWA
NAS_133,HABIBA YAHAYA LINK,2,11.99681771,8.573178985,Pending,NASSARAWA
NAS_264,SANI IDI DAN FULANI STREET,2,11.99733428,8.574633653,Pending,NASSARAWA
NAS_158,JIBRIN ABDU STREET,2,11.99672369,8.574797169,Pending,NASSARAWA
NAS_9,A.M. PANDA STREET,2,11.99629225,8.574767172,Pending,NASSARAWA
NAS_215,MALAM MADORI STREET,2,11.99703724,8.575485903,Pending,NASSARAWA
NAS_127,GIDAN KARA LINK,2,11.99758963,8.576544125,Pending,NASSARAWA
NAS_8,A MAI GORO SAGAGI LINK,2,11.99661415,8.576753157,Pending,NASSARAWA
NAS_26,ADEOLA STREET,2,11.99609961,8.576884472,Pending,NASSARAWA
NAS_317,YUSUF ABDULLAHI STREET,2,11.99558742,8.576992003,Pending,NASSARAWA
NAS_240,NASIRU ALI YAKASAI STREET,2,11.99566897,8.577530563,Pending,NASSARAWA
NAS_27,ADNAN BABAYOLA LINK,2,11.99515737,8.577638971,Pending,NASSARAWA
NAS_308,YABUKU ABDUL PAIKO LINK,2,11.9946441,8.577747732,Pending,NASSARAWA
NAS_265,SANI SHUAIBU STREET,2,11.99412319,8.57793499,Pending,NASSARAWA
NAS_229,MUSA KALLA STREET,2,11.99387107,8.576851271,Pending,NASSARAWA
NAS_70,BARRISTER ISA BELLO STREET,2,11.9944188,8.576738,Pending,NASSARAWA
NAS_39,ALI ZANGO STREET,2,11.994251,8.575131,Pending,NASSARAWA
NAS_249,RENNER STREET,2,11.99474593,8.575148236,Pending,NASSARAWA
NAS_99,DR. ALI IDI LINK,2,11.99522271,8.575065686,Pending,NASSARAWA
NAS_37,ALI ALI MUHAMMAD LINK,2,11.99463819,8.573816899,Pending,NASSARAWA
NAS_135,HAFSAT AVENUE,2,11.99392454,8.573818338,Pending,NASSARAWA
NAS_58,B Z TAGWAI STREET,2,11.99355,8.575157,Pending,NASSARAWA
NAS_242,NATIONAL AVENUE,2,11.99385622,8.57215835,Pending,NASSARAWA
NAS_107,ENGR. GAMBO ABUBAKAR STREET,2,11.99410421,8.572088085,Pending,NASSARAWA
NAS_241,NASIRU SAMINU LINK,2,11.9944163,8.572159484,Pending,NASSARAWA
NAS_156,IZZUDDEEN ABUBAKAR LINK,2,11.99357844,8.572088571,Pending,NASSARAWA
NAS_212,MAIMUNA LINK,2,11.992403,8.57183,Pending,NASSARAWA
NAS_43,AMB. BUBA AHMED STREET,2,11.9918821,8.571844057,Pending,NASSARAWA
NAS_225,MUH'D FAITH KARUBE STREET,2,11.9913217,8.571844703,Pending,NASSARAWA
NAS_238,NA'ANNABI AHMED STREET,2,11.99131258,8.57239211,Pending,NASSARAWA
